"body_len", "creation_date", "labels", "id", "title_len", "last_modified_date", "closed_at", "author", "comments_num"
854, 2021-12-18 21:55:57, bug, 1083953439, 58, None, 2022-01-15 19:15:00, None, 2
1199, 2021-12-16 13:22:21, question, 1082191951, 45, None, 2022-02-15 08:48:59, vaxin, 2
70, 2021-12-14 15:25:39, , 1079894667, 45, None, 2022-01-29 08:54:17, Erez Shinan, 2
101, 2021-12-13 14:18:54, , 1078588249, 35, None, 2021-12-14 14:52:51, Patitotective, 5
865, 2021-12-12 15:14:23, question, 1077831161, 37, None, 2021-12-13 16:26:07, Brando Miranda, 4
116, 2021-12-08 01:26:24, , 1073909559, 52, None, 2021-12-08 08:16:19, Patrick Hayes, 0
None, 2021-11-20 09:23:45, , 1059103253, 38, None, 2021-11-20 09:37:22, Peter Wienemann, 0
554, 2021-11-18 01:25:59, , 1056824070, 42, None, 2021-11-19 01:21:30, Nighty, 1
97, 2021-11-17 23:43:19, , 1056748761, 47, None, 2021-11-18 07:13:38, Nighty, 1
646, 2021-11-17 16:17:57, question, 1056318439, 64, None, 2021-11-17 21:37:11, Zach Perkitny, 3
773, 2021-11-16 08:59:33, , 1054618592, 79, None, 2021-12-01 10:30:48, Erez Shinan, 1
None, 2021-11-16 06:57:24, , 1054514446, 34, None, 2021-11-16 06:59:34, Erez Shinan, 1
19, 2021-11-15 15:34:45, , 1053803212, 32, None, 2021-11-15 15:36:52, ThatXliner, 1
1832, 2021-11-10 14:45:16, , 1049917246, 54, None, 2022-02-15 08:49:22, None, 7
1088, 2021-11-09 14:51:10, , 1048697919, 64, None, 2021-11-09 15:53:01, None, 11
2405, 2021-11-07 19:41:28, , 1046832384, 107, None, 2022-02-15 08:50:02, Michael Lewis, 1
1093, 2021-11-06 06:10:50, , 1046435605, 57, None, 2022-03-16 10:57:49, None, 1
1849, 2021-11-03 22:33:36, , 1044175905, 27, None, 2021-11-09 10:06:47, None, 30
548, 2021-10-23 07:16:13, , 1034100057, 35, None, 2021-10-23 07:55:19, M_9SCO, 3
None, 2021-10-19 10:45:45, , 1030149752, 46, None, 2021-10-19 13:18:46, Erez Shinan, 1
54, 2021-10-19 10:12:55, , 1030119278, 39, None, 2021-10-19 12:46:03, Erez Shinan, 1
189, 2021-10-13 14:00:22, , 1025289982, 72, None, 2021-10-15 08:46:56, Erez Shinan, 14
803, 2021-10-12 12:53:01, , 1023787408, 20, None, 2021-10-19 15:00:36, Takahide Higuchi, 8
20, 2021-10-09 09:15:26, , 1021656711, 39, None, 2022-03-06 17:56:38, None, 5
1125, 2021-10-08 22:49:25, question, 1021519960, 30, None, 2021-10-08 23:46:53, Dmitry Gritsenko, 10
7007, 2021-10-05 17:33:07, question, 1016589306, 20, None, 2021-10-06 15:54:22, None, 5
12, 2021-10-04 16:28:40, , 1015385807, 65, None, 2021-10-04 17:05:11, tx_haggis, 1
853, 2021-10-04 13:09:26, , 1015161014, 41, None, 2021-10-04 17:05:11, tx_haggis, 1
323, 2021-10-02 15:55:17, , 1014090800, 53, None, 2021-10-04 17:06:26, None, 4
1042, 2021-09-25 00:03:35, question, 1006900941, 32, None, 2022-03-16 10:58:33, Mikhail Akimov, 3
194, 2021-09-23 19:13:20, , 1005762111, 43, None, 2021-09-23 20:07:35, Michael K., 2
None, 2021-09-21 17:46:49, , 1002950705, 45, None, 2021-10-18 09:17:16, Erez Shinan, 1
